#       # k              E            BS weight       TS weight
      1.6712433     -1.9466007       0.0013653       0.0013718
      1.6969547     -2.0004360       0.0013818       0.0013818
      1.7226661     -2.0533957       0.0013973       0.0013919
      1.7483776     -2.1054143       0.0014116       0.0014020
      1.7740890     -2.1564282       0.0014249       0.0014120
      1.7998004     -2.2063759       0.0014372       0.0014219
      1.8255119     -2.2551979       0.0014487       0.0014316
      1.8512233     -2.3028367       0.0014592       0.0014412
      1.8769348     -2.3492367       0.0014690       0.0014506
      1.9026462     -2.3943443       0.0014780       0.0014597
      1.9283576     -2.4381076       0.0014862       0.0014687
      1.9540691     -2.4804768       0.0014937       0.0014774
      1.9797805     -2.5214040       0.0015006       0.0014859
      2.0054919     -2.5608430       0.0015069       0.0014941
      2.0312034     -2.5987498       0.0015125       0.0015021
      2.0569148     -2.6350820       0.0015176       0.0015098
      2.0826262     -2.6697993       0.0015221       0.0015172
      2.1083377     -2.7028634       0.0015261       0.0015244
      2.1340491     -2.7342378       0.0015296       0.0015313
      2.1597605     -2.7638881       0.0015326       0.0015380
      2.1854720     -2.7917817       0.0015352       0.0015444
      2.2111834     -2.8178881       0.0015372       0.0015506
      2.2368948     -2.8421787       0.0015389       0.0015565
      2.2626063     -2.8646270       0.0015401       0.0015622
      2.2883177     -2.8852086       0.0015410       0.0015676
      2.3140291     -2.9039008       0.0015414       0.0015727
      2.3397406     -2.9206831       0.0015414       0.0015776
      2.3654520     -2.9355372       0.0015410       0.0015822
      2.3911635     -2.9484466       0.0015403       0.0015866
      2.4168749     -2.9593970       0.0015392       0.0015908
      2.4425863     -2.9683760       0.0015377       0.0015947
      2.4682978     -2.9753734       0.0015359       0.0015983
      2.4940092     -2.9803810       0.0015337       0.0016017
      2.5197206     -2.9833927       0.0015312       0.0016049
      2.5454321     -2.9844044       0.0015283       0.0016078
 
      0.0000000     -2.9746392       0.0021837       0.0022968
      0.0257114     -2.9736552       0.0021791       0.0023006
      0.0514229     -2.9706725       0.0021740       0.0023040
      0.0771343     -2.9656932       0.0021683       0.0023070
      0.1028457     -2.9587215       0.0021622       0.0023097
      0.1285572     -2.9497636       0.0021555       0.0023120
      0.1542686     -2.9388279       0.0021484       0.0023139
      0.1799800     -2.9259246       0.0021407       0.0023155
      0.2056915     -2.9110662       0.0021325       0.0023167
      0.2314029     -2.8942671       0.0021237       0.0023174
      0.2571143     -2.8755438       0.0021144       0.0023178
      0.2828258     -2.8549147       0.0021046       0.0023178
      0.3085372     -2.8324004       0.0020942       0.0023174
      0.3342487     -2.8080231       0.0020832       0.0023165
      0.3599601     -2.7818074       0.0020717       0.0023152
      0.3856715     -2.7537797       0.0020595       0.0023135
      0.4113830     -2.7239683       0.0020467       0.0023113
      0.4370944     -2.6924034       0.0020333       0.0023086
      0.4628058     -2.6591173       0.0020193       0.0023055
      0.4885173     -2.6241438       0.0020046       0.0023019
      0.5142287     -2.5875191       0.0019892       0.0022977
      0.5399401     -2.5492807       0.0019731       0.0022931
      0.5656516     -2.5094683       0.0019562       0.0022879
      0.5913630     -2.4681233       0.0019387       0.0022821
      0.6170744     -2.4252887       0.0019203       0.0022758
      0.6427859     -2.3810096       0.0019012       0.0022688
      0.6684973     -2.3353324       0.0018812       0.0022613
