# Orbital magnetization in unit of Bohr magneton \mu_B
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
#                                      Sum over 1~NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z
   -0.902902   -0.262548    0.000000  0.0000E+00  0.0000E+00  0.2234E-01  0.0000E+00  0.0000E+00  0.2234E-01  0.0000E+00  0.0000E+00  0.2234E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.889721   -0.239718    0.000000  0.0000E+00  0.0000E+00  0.2369E-01  0.0000E+00  0.0000E+00  0.2369E-01  0.0000E+00  0.0000E+00  0.2369E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.876540   -0.216887    0.000000  0.0000E+00  0.0000E+00  0.2523E-01  0.0000E+00  0.0000E+00  0.2523E-01  0.0000E+00  0.0000E+00  0.2523E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.863359   -0.194057    0.000000  0.0000E+00  0.0000E+00  0.2686E-01  0.0000E+00  0.0000E+00  0.2686E-01  0.0000E+00  0.0000E+00  0.2686E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.850178   -0.171227    0.000000  0.0000E+00  0.0000E+00  0.2851E-01  0.0000E+00  0.0000E+00  0.2851E-01  0.0000E+00  0.0000E+00  0.2851E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.836997   -0.148397    0.000000  0.0000E+00  0.0000E+00  0.3009E-01  0.0000E+00  0.0000E+00  0.3009E-01  0.0000E+00  0.0000E+00  0.3009E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.823816   -0.125566    0.000000  0.0000E+00  0.0000E+00  0.3153E-01  0.0000E+00  0.0000E+00  0.3153E-01  0.0000E+00  0.0000E+00  0.3153E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.810635   -0.102736    0.000000  0.0000E+00  0.0000E+00  0.3277E-01  0.0000E+00  0.0000E+00  0.3277E-01  0.0000E+00  0.0000E+00  0.3277E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.797454   -0.079906    0.000000  0.0000E+00  0.0000E+00  0.3375E-01  0.0000E+00  0.0000E+00  0.3375E-01  0.0000E+00  0.0000E+00  0.3375E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.784272   -0.057076    0.000000  0.0000E+00  0.0000E+00  0.3445E-01  0.0000E+00  0.0000E+00  0.3445E-01  0.0000E+00  0.0000E+00  0.3445E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.771091   -0.034245    0.000000  0.0000E+00  0.0000E+00  0.3485E-01  0.0000E+00  0.0000E+00  0.3485E-01  0.0000E+00  0.0000E+00  0.3485E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.757910   -0.011415    0.000000  0.0000E+00  0.0000E+00  0.3496E-01  0.0000E+00  0.0000E+00  0.3496E-01  0.0000E+00  0.0000E+00  0.3496E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.744729    0.011415    0.000000  0.0000E+00  0.0000E+00  0.3480E-01  0.0000E+00  0.0000E+00  0.3480E-01  0.0000E+00  0.0000E+00  0.3480E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.731548    0.034245    0.000000  0.0000E+00  0.0000E+00  0.3440E-01  0.0000E+00  0.0000E+00  0.3440E-01  0.0000E+00  0.0000E+00  0.3440E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.718367    0.057076    0.000000  0.0000E+00  0.0000E+00  0.3381E-01  0.0000E+00  0.0000E+00  0.3381E-01  0.0000E+00  0.0000E+00  0.3381E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.705186    0.079906    0.000000  0.0000E+00  0.0000E+00  0.3307E-01  0.0000E+00  0.0000E+00  0.3307E-01  0.0000E+00  0.0000E+00  0.3307E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.692005    0.102736    0.000000  0.0000E+00  0.0000E+00  0.3222E-01  0.0000E+00  0.0000E+00  0.3222E-01  0.0000E+00  0.0000E+00  0.3222E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.678824    0.125566    0.000000  0.0000E+00  0.0000E+00  0.3131E-01  0.0000E+00  0.0000E+00  0.3131E-01  0.0000E+00  0.0000E+00  0.3131E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.665643    0.148397    0.000000  0.0000E+00  0.0000E+00  0.3039E-01  0.0000E+00  0.0000E+00  0.3039E-01  0.0000E+00  0.0000E+00  0.3039E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.652462    0.171227    0.000000  0.0000E+00  0.0000E+00  0.2950E-01  0.0000E+00  0.0000E+00  0.2950E-01  0.0000E+00  0.0000E+00  0.2950E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.639281    0.194057    0.000000  0.0000E+00  0.0000E+00  0.2866E-01  0.0000E+00  0.0000E+00  0.2866E-01  0.0000E+00  0.0000E+00  0.2866E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.626100    0.216887    0.000000  0.0000E+00  0.0000E+00  0.2792E-01  0.0000E+00  0.0000E+00  0.2792E-01  0.0000E+00  0.0000E+00  0.2792E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.612919    0.239718    0.000000  0.0000E+00  0.0000E+00  0.2729E-01  0.0000E+00  0.0000E+00  0.2729E-01  0.0000E+00  0.0000E+00  0.2729E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.599738    0.262548    0.000000  0.0000E+00  0.0000E+00  0.2678E-01  0.0000E+00  0.0000E+00  0.2678E-01  0.0000E+00  0.0000E+00  0.2678E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.586557    0.285378    0.000000  0.0000E+00  0.0000E+00  0.2643E-01  0.0000E+00  0.0000E+00  0.2643E-01  0.0000E+00  0.0000E+00  0.2643E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.573376    0.308208    0.000000  0.0000E+00  0.0000E+00  0.2623E-01  0.0000E+00  0.0000E+00  0.2623E-01  0.0000E+00  0.0000E+00  0.2623E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.560195    0.331039    0.000000  0.0000E+00  0.0000E+00  0.2619E-01  0.0000E+00  0.0000E+00  0.2619E-01  0.0000E+00  0.0000E+00  0.2619E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.547014    0.353869    0.000000  0.0000E+00  0.0000E+00  0.2631E-01  0.0000E+00  0.0000E+00  0.2631E-01  0.0000E+00  0.0000E+00  0.2631E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.533833    0.376699    0.000000  0.0000E+00  0.0000E+00  0.2659E-01  0.0000E+00  0.0000E+00  0.2659E-01  0.0000E+00  0.0000E+00  0.2659E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.520651    0.399529    0.000000  0.0000E+00  0.0000E+00  0.2702E-01  0.0000E+00  0.0000E+00  0.2702E-01  0.0000E+00  0.0000E+00  0.2702E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.507470    0.422360    0.000000  0.0000E+00  0.0000E+00  0.2759E-01  0.0000E+00  0.0000E+00  0.2759E-01  0.0000E+00  0.0000E+00  0.2759E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.494289    0.445190    0.000000  0.0000E+00  0.0000E+00  0.2828E-01  0.0000E+00  0.0000E+00  0.2828E-01  0.0000E+00  0.0000E+00  0.2828E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.481108    0.468020    0.000000  0.0000E+00  0.0000E+00  0.2907E-01  0.0000E+00  0.0000E+00  0.2907E-01  0.0000E+00  0.0000E+00  0.2907E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.467927    0.490850    0.000000  0.0000E+00  0.0000E+00  0.2994E-01  0.0000E+00  0.0000E+00  0.2994E-01  0.0000E+00  0.0000E+00  0.2994E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.454746    0.513681    0.000000  0.0000E+00  0.0000E+00  0.3085E-01  0.0000E+00  0.0000E+00  0.3085E-01  0.0000E+00  0.0000E+00  0.3085E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.441565    0.536511    0.000000  0.0000E+00  0.0000E+00  0.3177E-01  0.0000E+00  0.0000E+00  0.3177E-01  0.0000E+00  0.0000E+00  0.3177E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.428384    0.559341    0.000000  0.0000E+00  0.0000E+00  0.3265E-01  0.0000E+00  0.0000E+00  0.3265E-01  0.0000E+00  0.0000E+00  0.3265E-01  0.0000E+00  0.0000E+00  0.0000E+00
